Order_ID,Distance_km,Traffic_Level,Weather,Vehicle_Type,Order_Quantity,Delivery_Time_hr,Expected_Time_hr,Delivery_Status,Delivery_Cost
1001,41,Low,Fog,Bike,1,4.85,4.62,Delayed,208.17
1002,31,Low,Rain,Truck,6,4.27,4.22,Delayed,225.78
1003,17,Low,Clear,Van,4,2.32,2.58,On-Time,149.52
1004,45,Medium,Clear,Van,1,5.3,5.02,Delayed,245.65
1005,10,Medium,Rain,Van,7,3.09,2.24,Delayed,132.16
1006,23,High,Clear,Bike,9,4.19,3.78,Delayed,152.16
1007,41,Medium,Clear,Bike,4,4.64,4.98,On-Time,234.41
1008,21,Low,Clear,Bike,4,3.23,2.98,Delayed,136.67
1009,25,Medium,Rain,Van,6,4.34,3.62,Delayed,177.18
1010,13,High,Rain,Bike,3,3.1,2.06,Delayed,115.67
1011,13,Medium,Clear,Bike,6,3.16,2.42,Delayed,112.28
1012,26,High,Rain,Bike,7,5.18,3.84,Delayed,175.09
1013,38,Medium,Clear,Bike,10,6.01,5.4,Delayed,249.68
1014,42,Medium,Clear,Truck,10,5.82,5.8,Delayed,274.48
1015,26,Medium,Rain,Van,3,4.68,3.36,Delayed,191.73
1016,5,Low,Rain,Van,7,2.55,1.74,Delayed,89.94
1017,24,Low,Rain,Bike,3,3.37,3.16,Delayed,167.66
1018,4,Low,Rain,Van,2,1.58,1.04,Delayed,104.1
1019,26,Medium,Clear,Van,10,4.53,4.2,Delayed,169.54
1020,46,Low,Clear,Bike,4,5.76,5.48,Delayed,246.64
1021,32,Medium,Clear,Bike,8,4.42,4.56,On-Time,214.32
1022,40,High,Clear,Bike,9,6.52,5.48,Delayed,241.06
1023,4,Low,Clear,Van,7,1.71,1.64,Delayed,103.75
1024,23,Medium,Fog,Van,1,3.1,2.82,Delayed,156.85
1025,35,High,Clear,Bike,3,4.65,4.26,Delayed,208.54
1026,14,Low,Fog,Bike,9,2.77,2.88,On-Time,132.43
1027,24,Low,Rain,Van,1,3.03,2.92,Delayed,182.31
1028,46,Low,Rain,Van,9,6.53,6.08,Delayed,283.75
1029,27,Low,Clear,Truck,8,4.19,4.06,Delayed,217.45
1030,29,High,Clear,Van,1,4.15,3.42,Delayed,184.36
1031,44,High,Clear,Bike,6,6.89,5.52,Delayed,246.95
1032,30,Medium,Clear,Bike,5,3.72,4.0,On-Time,186.31
1033,18,High,Rain,Van,6,3.52,2.92,Delayed,160.33
1034,17,High,Clear,Bike,10,4.08,3.3,Delayed,144.35
1035,49,Low,Clear,Van,5,5.73,5.9,On-Time,286.78
1036,46,High,Rain,Truck,6,6.81,5.72,Delayed,313.1
1037,5,Medium,Clear,Van,5,0.88,1.5,On-Time,108.95
1038,39,High,Fog,Bike,5,6.47,4.9,Delayed,225.39
1039,9,High,Fog,Van,4,2.82,1.78,Delayed,127.21
1040,23,Low,Fog,Van,3,3.79,3.06,Delayed,164.2
1041,11,Low,Clear,Van,3,1.69,1.86,On-Time,94.24
1042,41,Low,Clear,Truck,4,4.25,4.98,On-Time,250.1
1043,20,Medium,Fog,Bike,9,4.3,3.48,Delayed,137.05
1044,6,High,Clear,Truck,2,1.47,1.24,Delayed,105.98
1045,27,High,Fog,Truck,9,5.56,4.18,Delayed,216.12
1046,16,Low,Fog,Bike,1,3.05,2.12,Delayed,142.82
1047,11,Medium,Fog,Bike,1,2.27,1.62,Delayed,105.62
1048,28,Medium,Clear,Bike,5,4.18,3.8,Delayed,180.47
1049,4,Low,Clear,Bike,6,1.13,1.52,On-Time,94.75
1050,22,Low,Fog,Bike,6,3.64,3.32,Delayed,133.87
1051,30,Low,Clear,Van,3,3.42,3.76,On-Time,201.33
1052,49,High,Clear,Bike,7,6.58,6.14,Delayed,285.55
1053,9,Low,Clear,Bike,9,1.99,2.38,On-Time,95.56
1054,46,Medium,Fog,Van,10,6.68,6.2,Delayed,296.93
1055,10,Medium,Rain,Bike,8,3.75,2.36,Delayed,119.06
1056,49,Medium,Clear,Van,6,6.13,6.02,Delayed,280.82
1057,37,High,Clear,Bike,8,5.62,5.06,Delayed,235.99
1058,16,High,Rain,Bike,5,3.97,2.6,Delayed,159.95
1059,19,Low,Fog,Van,8,3.72,3.26,Delayed,166.98
1060,38,Medium,Clear,Van,10,5.42,5.4,Delayed,252.58
1061,42,Low,Clear,Truck,4,4.89,5.08,On-Time,260.89
1062,6,Low,Fog,Van,10,2.97,2.2,Delayed,105.0
1063,4,Low,Rain,Van,8,1.77,1.76,Delayed,111.76
1064,8,Medium,Rain,Bike,10,2.9,2.4,Delayed,101.33
1065,44,Medium,Rain,Bike,2,5.64,5.04,Delayed,243.66
1066,6,Low,Clear,Van,5,0.5,1.6,On-Time,96.97
1067,31,Low,Clear,Van,9,3.75,4.58,On-Time,223.45
1068,20,High,Rain,Truck,4,4.46,2.88,Delayed,178.0
1069,28,Low,Rain,Bike,6,4.8,3.92,Delayed,198.05
1070,46,Low,Fog,Bike,1,5.63,5.12,Delayed,242.58
1071,36,Medium,Fog,Van,9,6.18,5.08,Delayed,235.46
1072,12,High,Clear,Bike,1,2.63,1.72,Delayed,94.15
1073,38,Low,Clear,Truck,5,5.48,4.8,Delayed,246.77
1074,16,Medium,Rain,Truck,4,3.37,2.48,Delayed,161.73
1075,33,High,Rain,Bike,3,5.32,4.06,Delayed,208.18
1076,50,Low,Rain,Van,6,5.99,6.12,On-Time,278.93
